gene_symbol	ensembl_id	ensembl_id_clean	gene_name	logFC	logCPM	LR	PValue	FDR
TSPAN6	ENSG00000000003.14	ENSG00000000003	TSPAN6	1.59955726109917	2.73254099775467	0.997822777164862	0.317837906181717	0.44173409407711
TNMD	ENSG00000000005.5	ENSG00000000005	TNMD	6.45926598472244	2.20215934100709	9.43712707046379	0.00212636325648392	0.0103298575177146
DPM1	ENSG00000000419.12	ENSG00000000419	DPM1	6.9264370206415	2.54624010911843	11.7226268812886	0.000617447355194386	0.00504461491598775
SCYL3	ENSG00000000457.13	ENSG00000000457	SCYL3	0.161589390532188	4.65859787803353	0.0140771399230317	0.905554929822759	0.939024249793456
C1orf112	ENSG00000000460.16	ENSG00000000460	C1orf112	-0.464876284513621	4.23246174623152	0.102005516434083	0.749436081680373	0.828332989697173
FGR	ENSG00000000938.12	ENSG00000000938	FGR	0.432717898093593	3.39474827929855	0.0762273972074077	0.78247656388892	0.852881157442836
CFH	ENSG00000000971.15	ENSG00000000971	CFH	1.66716315059059	4.58733167720283	1.75356439877681	0.185429264548879	0.288668133078698
FUCA2	ENSG00000001036.13	ENSG00000001036	FUCA2	0.391751463653538	3.9520851015812	0.0758375176098163	0.783019603111104	0.853284787053583
GCLC	ENSG00000001084.10	ENSG00000001084	GCLC	2.18243047051351	4.80482609418512	2.86334769847729	0.0906187246260557	0.161720585864525
NFYA	ENSG00000001167.14	ENSG00000001167	NFYA	-2.32791736725125	7.05463428524507	2.42414191954305	0.119478649903074	0.202456592924655
STPG1	ENSG00000001460.17	ENSG00000001460	STPG1	2.17566417517569	3.86364640679585	2.62268523296527	0.10534603338158	0.182766530643343
NIPAL3	ENSG00000001461.16	ENSG00000001461	NIPAL3	-1.18649895866617	6.18434064618134	0.756583305187728	0.384399888115496	0.510038983873076
LAS1L	ENSG00000001497.16	ENSG00000001497	LAS1L	2.17668134235047	4.30896746386468	2.79639173002561	0.0944767044616284	0.167386068649774
ENPP4	ENSG00000001561.6	ENSG00000001561	ENPP4	7.36164836265409	2.87907507720691	12.8960517616196	0.00032927600790726	0.00351428607306337
SEMA3F	ENSG00000001617.11	ENSG00000001617	SEMA3F	1.30579753856516	4.48127228205517	1.06656204741565	0.301723291061191	0.424760635165976
CFTR	ENSG00000001626.14	ENSG00000001626	CFTR	3.00026289728793	3.77139478649265	4.15839767081899	0.0414285780555961	0.0849022415406436
ANKIB1	ENSG00000001629.9	ENSG00000001629	ANKIB1	1.08261663691758	5.97243240578923	0.846847962505848	0.357445565882398	0.482304395456589
KRIT1	ENSG00000001631.15	ENSG00000001631	KRIT1	1.76573342090054	5.64452855648586	1.92614909792875	0.165180369401151	0.262881082742856
RAD52	ENSG00000002016.17	ENSG00000002016	RAD52	1.24964632672463	3.98894650438738	0.915032999239457	0.338782533171381	0.463635007682411
MYH16	ENSG00000002079.12	ENSG00000002079	MYH16	-1.66097382033625	6.0052380710043	1.38961905235329	0.23846944308964	0.353307582648723
BAD	ENSG00000002330.13	ENSG00000002330	BAD	5.37555478603312	1.53369229958028	6.59126561152974	0.0102480291325428	0.0278160763487077
LAP3	ENSG00000002549.12	ENSG00000002549	LAP3	7.08742584514808	4.52713640867055	18.0209408316131	2.18488286770926e-05	0.000632161879083099
HS3ST1	ENSG00000002587.9	ENSG00000002587	HS3ST1	-1.19311790933909	5.14203957852077	0.690040682461238	0.406150543446196	0.532084801166875
AOC1	ENSG00000002726.20	ENSG00000002726	AOC1	0.831341473293904	3.28312632320897	0.256423295578738	0.612588116216077	0.72093082778055
WNT16	ENSG00000002745.12	ENSG00000002745	WNT16	2.54695997425304	2.10190461176819	2.05903606741715	0.151305857927807	0.244884741911173
HECW1	ENSG00000002746.14	ENSG00000002746	HECW1	-0.391999051948334	5.0062931549707	0.0861120508725399	0.769179321181343	0.84353732553341
MAD1L1	ENSG00000002822.15	ENSG00000002822	MAD1L1	1.55748108431414	4.42606840883205	1.34624321677571	0.24593595796675	0.361907801408085
LASP1	ENSG00000002834.17	ENSG00000002834	LASP1	1.73239744877428	5.58973287041078	1.89912744521938	0.1681760181935	0.266466355497225
SNX11	ENSG00000002919.14	ENSG00000002919	SNX11	4.14894321987485	2.91456878378232	5.63051150532738	0.0176504803425202	0.0416388568693089
TMEM176A	ENSG00000002933.7	ENSG00000002933	TMEM176A	1.20041112679147	4.73657927264439	0.895688758734511	0.343940349803453	0.468729479112323
M6PR	ENSG00000003056.7	ENSG00000003056	M6PR	5.8031433618136	4.25415862781035	13.1299325080543	0.000290615241966556	0.00324943569756317
KLHL13	ENSG00000003096.13	ENSG00000003096	KLHL13	1.78431733145914	3.54941946384493	1.29972133053029	0.254264132057026	0.37126352611653
CYP26B1	ENSG00000003137.8	ENSG00000003137	CYP26B1	0.768764925653796	3.40545913918577	0.272380750351999	0.601739197614239	0.711650809056211
