gene_symbol	ensembl_id	ensembl_id_clean	gene_name	logFC	logCPM	LR	PValue	FDR
RBM5	ENSG00000003756.16	ENSG00000003756	RBM5	3.40905644636272	6.9271117208886	8.33579889848314	0.00388713805729453	0.0199215825436344
RBM6	ENSG00000004534.14	ENSG00000004534	RBM6	8.26386333169556	6.68931726194601	34.8545500611031	3.55278302679863e-09	2.34243626861494e-07
PDK4	ENSG00000004799.7	ENSG00000004799	PDK4	4.28628079042815	6.32688610811028	9.218867368249	0.00239533686864392	0.0139294977140807
CDC27	ENSG00000004897.11	ENSG00000004897	CDC27	-5.81661295714459	12.150297489365	6.74604553199426	0.0093955699968013	0.0394500740227139
THSD7A	ENSG00000005108.15	ENSG00000005108	THSD7A	3.37794457004176	5.27764686740967	6.67766284929823	0.00976285499616242	0.0405732278758743
CREBBP	ENSG00000005339.14	ENSG00000005339	CREBBP	3.35305207431358	7.96560161797615	7.01164055687233	0.00809814402666173	0.0351207508498512
KMT2E	ENSG00000005483.20	ENSG00000005483	KMT2E	4.27831766523959	8.19211710726002	13.5078498978727	0.000237567580142203	0.00214646708058112
CX3CL1	ENSG00000006210.6	ENSG00000006210	CX3CL1	9.14903266276677	5.13310106251396	26.0277749993239	3.36540710159544e-07	7.85637380319816e-06
LUC7L	ENSG00000007392.16	ENSG00000007392	LUC7L	3.75120311676569	6.17327224523928	10.0796036955562	0.00149919574963667	0.00946258222830182
TFAP2B	ENSG00000008196.12	ENSG00000008196	TFAP2B	3.76540242616161	6.2493986864232	6.59856196348085	0.0102061165640205	0.0418164286456394
SPAG9	ENSG00000008294.20	ENSG00000008294	SPAG9	4.0528966575744	6.30880226944623	13.1919685684747	0.000281151412473343	0.00244510631599162
NFIX	ENSG00000008441.16	ENSG00000008441	NFIX	7.62545137900709	7.60771520867119	29.0576269420239	7.02569583508925e-08	2.24041633852291e-06
SEC62	ENSG00000008952.16	ENSG00000008952	SEC62	6.75616540112541	7.22788240697146	24.36177991705	7.98370369423995e-07	1.76255612326682e-05
RPS20	ENSG00000008988.9	ENSG00000008988	RPS20	4.85156666323493	6.42902146772726	15.8704582844173	6.78292747594756e-05	0.000733808538239621
REV3L	ENSG00000009413.15	ENSG00000009413	REV3L	3.11603841213166	6.25472031869442	7.66539523066024	0.00562899287590327	0.026767891073618
